"accuracy","f1","precision","recall"
"0.6547619047619048","0.6520170451884006","0.7331707765918292","0.6527777777777778"
"0.5595238095238095","0.5360119697236401","0.5156400616926933","0.5611111111111111"
"0.6190476190476191","0.6116926896632779","0.6575595238095238","0.6194444444444444"
"0.6428571428571429","0.6386439360433169","0.7444444444444444","0.6402777777777777"
"0.5714285714285714","0.5361491286491287","0.6288095238095239","0.5708333333333333"
"0.5833333333333334","0.5656027306027307","0.6893162393162393","0.5833333333333333"
"0.6190476190476191","0.57738455988456","0.5702287581699347","0.6152777777777778"
"0.5952380952380952","0.5710816864295125","0.6302602952602954","0.5944444444444444"
"0.6428571428571429","0.5902795031055901","0.6986796536796536","0.6430555555555555"
"0.6547619047619048","0.6466156621156621","0.7254428904428905","0.6541666666666667"
"0.5903614457831325","0.588844537815126","0.6668506493506493","0.5930555555555556"
"0.5783132530120482","0.5648437432133084","0.6933769081795398","0.5805555555555555"
"0.6024096385542169","0.5774848416267181","0.6692857142857143","0.6083333333333334"
"0.6144578313253012","0.5957265394452096","0.6919992997198879","0.6166666666666666"
"0.5421686746987951","0.5055099960538109","0.5088095238095238","0.5430555555555555"
"0.6024096385542169","0.5930901915422039","0.7029761904761904","0.6055555555555555"
"0.6385542168674698","0.6107105165366036","0.5815079365079365","0.6402777777777777"
"0.5542168674698795","0.5383183483183483","0.5912087912087913","0.5569444444444445"
"0.5783132530120482","0.5512707292707292","0.6775219298245614","0.5819444444444445"
"0.6024096385542169","0.5835797535797536","0.7276974487500804","0.6055555555555555"
"0.5903614457831325","0.5588904019956652","0.600344611528822","0.5902777777777778"
"0.6024096385542169","0.5845174172232996","0.6509941520467837","0.5999999999999999"
"0.5783132530120482","0.5275170024483525","0.620436507936508","0.5736111111111112"
"0.6024096385542169","0.5825303643724696","0.6834615384615385","0.5999999999999999"
"0.6506024096385542","0.6225905205905206","0.7175761738261738","0.6499999999999999"
"0.6867469879518072","0.6674893546575469","0.6762745098039216","0.6861111111111111"
"0.6746987951807228","0.6541674991674992","0.7194155844155843","0.6763888888888888"
"0.5903614457831325","0.5624629718107979","0.647797619047619","0.5875"
"0.5903614457831325","0.555375207755407","0.6288195138195138","0.5861111111111111"
"0.6144578313253012","0.5844959548684814","0.5667748917748917","0.6138888888888888"
